"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"136","H3x42","H","36",NA,"3","42","1",3,2,3,0.291056896,0.32377928,0.307418088,0.485851623,0.32071675,4,0.437700266,0.43549799,0.436599128,0.471275471,0.343179748
"183","H4x42","H","79","68","4","42","3",3,3,4,0.401143177,0.362337401,0.381740289,0.490288074,0.31594065,3,0.410669857,0.460572515,0.435621186,0.467107551,0.339842752
"230","H5x42","H","28","38","5","42","0",1,0,2,0.054461395,0.055496337,0.054978866,0.461724316,0.329410569,2,0.044412599,0.026562116,0.035487357,0.44753088,0.345193285
"277","H6x42","H","55","52","6","42","1",2,1,3,0.34246213,0.341719896,0.342091013,0.488255348,0.333151282,4,0.378414099,0.298704331,0.338559215,0.464204903,0.362631039
"324","H7x42","H","60","60","7","42","2",3,3,4,0.346931637,0.274190735,0.310561186,0.481444865,0.326557103,5,0.462949902,0.346263981,0.404606941,0.46936487,0.34365107
"371","H8x42","H","86","64","8","42","2",2,2,2,0.151864934,0.189507005,0.17068597,0.450825356,0.327845314,3,0.356341843,0.299288813,0.327815328,0.460185693,0.351583682
"418","H9x42","H","48","48","9","42","0",1,0,2,0.061942318,0.066149584,0.064045951,0.449544948,0.333906193,3,0.338056133,0.260770444,0.299413289,0.454366063,0.343926757
"465","H10x42","H","74","74","10","42","2",2,2,3,0.318799022,0.292202229,0.305500625,0.457948071,0.321439685,3,0.277591398,0.249086131,0.263338764,0.461551974,0.371381221
"512","H11x42","H","44","43","11","42","1",2,0,3,0.144350062,0.129751263,0.137050663,0.446100822,0.331685407,2,0.164508664,0.111731223,0.138119943,0.452418144,0.362669333
"43","H1x43","H","62","62","1","43","3",3,1,3,0.236049523,0.184350176,0.21019985,0.466717864,0.327490911,3,0.488112088,0.478085938,0.483099013,0.474778619,0.348867771
"90","H2x43","H","40","40","2","43","3",3,3,4,0.28436501,0.292245958,0.288305484,0.483506909,0.317819856,4,0.490600797,0.426938453,0.458769625,0.484447148,0.32921242
"137","H3x43","H","67","67","3","43","2",3,3,4,0.393857075,0.341949774,0.367903425,0.485322365,0.316324145,4,0.414085274,0.426980215,0.420532745,0.472633267,0.344167967
"184","H4x43","H","77","88","4","43","0",1,1,3,0.337461706,0.290089239,0.313775473,0.476614023,0.322796113,3,0.357002125,0.300900587,0.328951356,0.465311852,0.35548134
"231","H5x43","H","58",NA,"5","43","1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","H6x43","H","43","43","6","43","1",2,0,3,0.123321784,0.067902213,0.095611998,0.4683931,0.340460624,3,0.231314058,0.241759773,0.236536916,0.466959516,0.341883051
"325","H7x43","H","46","46","7","43","1",2,1,3,0.208020958,0.233294852,0.220657905,0.471985102,0.322022194,3,0.304326634,0.261750383,0.283038508,0.466249519,0.354790027
"372","H8x43","H","87","87","8","43","3",3,1,3,0.277014676,0.275547437,0.276281056,0.466313116,0.325936746,3,0.410205025,0.361997943,0.386101484,0.468547513,0.349722464
"419","H9x43","H","38","35","9","43","1",2,1,2,0.152307971,0.167921601,0.160114786,0.460097837,0.325750093,3,0.307213427,0.242063711,0.274638569,0.45115919,0.327972325
"466","H10x43","H","82","102","10","43","1",3,1,3,0.103344612,0.068212656,0.085778634,0.436345922,0.330781936,3,0.255477037,0.274604147,0.265040592,0.458873046,0.359746179
"513","H11x43","H","62","68","11","43","3",3,3,4,0.32741829,0.438911198,0.383164744,0.456773638,0.337192762,4,0.514698152,0.376302852,0.445500502,0.479519592,0.376176411
"44","H1x44","H","81","90","1","44","0",1,0,1,0.029380199,0.027014708,0.028197453,0.46315145,0.33521148,2,0.129524663,0.083405744,0.106465204,0.459090406,0.354854192
"91","H2x44","H","66","66","2","44","2",2,2,4,0.299615758,0.344944252,0.322280005,0.494742179,0.329287733,4,0.446336713,0.404710875,0.425523794,0.485365713,0.351831745
"138","H3x44","H","44","44","3","44","1",2,1,3,0.22001343,0.229308479,0.224660955,0.475600485,0.32348243,2,0.088304204,0.062486113,0.075395158,0.446198868,0.358279616
"185","H4x44","H","61","61","4","44","1",2,1,3,0.213623916,0.207109191,0.210366553,0.484343819,0.32358538,3,0.358392981,0.321420141,0.339906561,0.462010008,0.354496587
"232","H5x44","H","64","64","5","44","1",2,2,2,0.114929627,0.139986979,0.127458303,0.460638976,0.334831495,3,0.203151652,0.191834403,0.197493027,0.455156934,0.350168467
"279","H6x44","H","84","84","6","44","1",3,1,2,0.099080114,0.15871107,0.128895592,0.473560498,0.325872189,3,0.210098291,0.132501206,0.171299748,0.451045616,0.348547005
"326","H7x44","H","93","93","7","44","2",3,2,3,0.296803576,0.301617868,0.299210722,0.474851597,0.319523208,3,0.260203065,0.254375564,0.257289315,0.461569874,0.351624661
"373","H8x44","H","75","75","8","44","2",2,1,3,0.445483724,0.423882124,0.434682924,0.495924162,0.333565621,3,0.335313686,0.29020982,0.312761753,0.465316194,0.365841526
